NomeBanco,CodInst,AnoMes,DataRef,Ano,Trimestre,AnoTri,AtivoTotal,Captacoes,CarteiraCreditoSimples,CarteiraCredito,LucroLiquido,PassivoTotal,PassivoExigivel,PatrimonioLiquido,TVM,Alavancagem,CoberturaCapt,CreditoSobreAtivo,ROE,CrescAtivo_QoQ,CrescAtivo_YoY,AtivoBase100,CrescPL_QoQ,CrescPL_YoY
Banco Master,33923798,202403,2024-03-01,2024,1,2024Q1,41044130512.42,37042000784.46,,17432214140.18,59485455.5099999,38602505220.14,,2441625292.28,,16.810167654387627,0.902492032892524,0.42471880686825597,0.024363056730319223,0.13564829488277352,0.7785186748235966,1321.482365293601,0.024839672719648487,0.4700697181735587
Banco Master,33923798,202406,2024-06-01,2024,2,2024Q2,50985792542.31,44618471351.69,,21045506371.07,500751544.590001,46797851633.88,,4187940908.43,,12.174429787125113,0.8751157749418891,0.4127719766953827,0.11956986871090444,0.2422188484875234,0.8654355020064826,1641.570302111586,0.7152267064367124,1.2572312457940744
Banco Master,33923798,202409,2024-09-01,2024,3,2024Q3,58335367534.98,50932398725.79,,22173992756.77,236650472.71,53922890841.68,,4412476693.3,,13.22054972518216,0.8730963886573456,0.38011233482798695,0.05363211845840119,0.14414947039552328,0.89045589805485,1878.2017917779904,0.053614840748595016,1.374408270362093
Banco Master,33923798,202412,2024-12-01,2024,4,2024Q4,63014691768.71001,53918212145.03,,22463655844.53,566759996.63,58273979436.18,,4740712332.53,,13.292241196816226,0.8556450984943662,0.3564828330348883,0.11955165318532085,0.08021418963245774,0.7435508163108526,2028.8602264716917,0.07438807319444884,0.9898508140006963
Banco Master,33923798,202503,2025-03-01,2025,1,2025Q1,68344169943.95,54521812915.28,13668196543.59,,57712713.8899995,,65075309581.54,3268860362.41,32171216847.83,20.90764436739738,0.7977536775996269,,0.017655301080970687,0.08457516851469138,0.6651386956112757,2200.45142201829,-0.3104706353980583,0.33880508722840275
Banco Original,92894922,201903,2019-03-01,2019,1,2019Q1,10952357752.81,8320333696.3,,5992899425.29,1156227.35000001,8860281277.95,,2092076474.86,,5.2351612784819075,0.7596842510157493,0.5471789326597214,0.0005526697345408388,,,100.0,,
Banco Original,92894922,201906,2019-06-01,2019,2,2019Q2,11927771437.53,9134240666.63,,6204449568.35,579651.179999977,9831585720.7,,2096185716.83,,5.69022646312466,0.765796084748042,0.5201683819014238,0.0002765266337548404,0.0890596989921868,,108.90596989921868,0.0019641930012501696,
Banco Original,92894922,201909,2019-09-01,2019,3,2019Q3,12266639311.06,9244787261.21,,6696612536.05,5496475.01000001,10158198190.57,,2108441120.49,,5.817871408336621,0.753652816128261,0.545920717666502,0.0026068904445966383,0.02840999052545312,,111.99998747222078,0.005846525697414728,
Banco Original,92894922,201912,2019-12-01,2019,4,2019Q4,12651228131.39,9831317663.29,,7101768239.73,8241516.08000028,10554672320.63,,2096555810.76,,6.034291129509182,0.777103816418954,0.5613501049838173,0.003930978625850526,0.03135241940172162,,115.5114580524374,-0.0056370128691276555,
Banco Original,92894922,202003,2020-03-01,2020,1,2020Q1,13302197896.9,10661937281.89,,7451285667.07,-131793014.49,11350337974.52,,1951859922.38,,6.815139623687732,0.8015169646795514,0.5601544740817965,-0.06752175859489866,0.05145506497466634,0.2145510763184404,121.45510763184404,-0.0690159964439715,-0.06702267061694434
Banco Original,92894922,202006,2020-06-01,2020,2,2020Q2,14519299513.46,11874953215.57,,6993984436.95,-219897735.9,12632944247.37,,1886355266.09,,7.6970122089225095,0.8178737000749534,0.4817026076544728,-0.11657281099323337,0.09149627948653793,0.21726842180894868,132.56779810479478,-0.03356012157374855,-0.10010107838026894
Banco Original,92894922,202009,2020-09-01,2020,3,2020Q3,15455046579.65,12458080127.7,,7281029711.0,-10326354.24,13580216783.81,,1874829795.84,,8.243439811945976,0.8060849291844794,0.4711101757911938,-0.005507888909656129,0.06444849941435016,0.25992508524443436,141.11159376331332,-0.006109914954614992,-0.11079812586642634
Banco Original,92894922,202012,2020-12-01,2020,4,2020Q4,15251866617.66,12663646561.08,,7683196955.29,-28533907.1900005,13394154872.53,,1857711745.13,,8.210028632075367,0.8303014233298419,0.503754533651225,-0.015359706512488963,-0.013146512431578938,0.2055641127692056,139.25646844166403,-0.009130455867504605,-0.11392211187710721
Banco Original,92894922,202103,2021-03-01,2021,1,2021Q1,15975081889.12,13036792892.75,,8380468254.1,26378315.51,14097280613.07,,1877801276.05,,8.507333599604303,0.8160704892304087,0.5245962626212017,0.014047447856403326,0.04741814819063506,0.20093551553934574,145.85975229873534,0.010814127096232529,-0.03794260309402575
Banco Original,92894922,202106,2021-06-01,2021,2,2021Q2,17007927664.89,13732815944.25,,9485928642.83,66051790.9700005,14997487166.96,,2010440497.93,,8.459801562096361,0.8074361682875147,0.5577357118240867,0.032854387403163175,0.0646535512580646,0.17140139227260498,155.2901032704702,0.07063538808484027,0.06578041478750807
Banco Original,92894922,202109,2021-09-01,2021,3,2021Q3,20384883107.93,16646772030.21,,11114648161.87,7049264.64000024,18249801994.13,,2135081113.8,,9.547591881251364,0.8166233743932618,0.5452397300010148,0.0033016378602375514,0.19855184650221425,0.31897907928477065,186.1232400183416,0.06199666988320862,0.13881330376627443
