NomeBanco,AnoMes,DataRef,AnoTri,Basileia,ScoreBasileia,Alavancagem,ScoreAlavancagem,CrescAtivo_YoY,ScoreCrescimento,CoberturaCapt,ScoreCaptacoes,ScoreEstresse,ClasseRisco
Banco Daycoval,201903,2019-03-01,2019Q1,0.160218638631433,12.445340342141748,8.301490161675124,0.0,,0.0,0.7358654046408851,0.0,12.445340342141748,BAIXO
Banco Daycoval,201906,2019-06-01,2019Q2,0.160022955904865,12.494261023783748,8.511800949362113,0.0,,0.0,0.7437426806897488,0.0,12.494261023783748,BAIXO
Banco Daycoval,201909,2019-09-01,2019Q3,0.157729159738343,13.06771006541425,8.30043747450008,0.0,,0.0,0.7270409181777879,0.0,13.06771006541425,BAIXO
Banco Daycoval,201912,2019-12-01,2019Q4,0.141202729909483,17.199317522629254,9.262346694124275,0.0,,0.0,0.7680139443884867,0.0,17.199317522629254,BAIXO
Banco Daycoval,202003,2020-03-01,2020Q1,0.141810030800835,17.047492299791248,9.677699142374628,0.0,0.33327000382048677,0.0,0.7624895890922286,0.0,17.047492299791248,BAIXO
Banco Daycoval,202006,2020-06-01,2020Q2,0.167369051026951,10.657737243262256,9.713552937161435,0.0,0.3367072937384685,0.0,0.7604926594122852,0.0,10.657737243262256,BAIXO
Banco Daycoval,202009,2020-09-01,2020Q3,0.155932445392508,13.516888651873,10.078739304794638,0.0,0.41489003290189563,0.0,0.7665168058629577,0.0,13.516888651873,BAIXO
Banco Daycoval,202012,2020-12-01,2020Q4,0.144856220646019,16.285944838495254,11.149355329121917,0.0,0.44176521227404764,0.0,0.7894628024273367,0.0,16.285944838495254,BAIXO
Banco Daycoval,202103,2021-03-01,2021Q1,0.150007594486385,14.99810137840375,10.631752908234624,0.0,0.3689436747985182,0.0,0.7865382493439296,0.0,14.99810137840375,BAIXO
Banco Daycoval,202106,2021-06-01,2021Q2,0.138987880238543,17.75302994036425,10.29952697286169,0.0,0.3261034320093128,0.0,0.77569789107485,0.0,17.75302994036425,BAIXO
Banco Daycoval,202109,2021-09-01,2021Q3,0.139970826117007,17.507293470748248,10.640863727804424,0.0,0.29549974852948546,0.0,0.7751860614800434,0.0,17.507293470748248,BAIXO
Banco Daycoval,202112,2021-12-01,2021Q4,0.129870482488383,20.032379377904245,12.264246748123885,0.0,0.2380351427673808,0.0,0.7893994748603229,0.0,20.032379377904245,MODERADO
Banco Daycoval,202203,2022-03-01,2022Q1,0.138526950550953,17.868262362261756,11.681859260082554,0.0,0.15780659977807332,0.0,0.7773163296276031,0.0,17.868262362261756,BAIXO
Banco Daycoval,202206,2022-06-01,2022Q2,0.134234048033013,18.94148799174675,12.03180457064884,0.0,0.19563347203078574,0.0,0.7784551269614401,0.0,18.94148799174675,BAIXO
Banco Daycoval,202209,2022-09-01,2022Q3,0.133290232030809,19.17744199229775,11.998765980587814,0.0,0.14964615465940745,0.0,0.7984330635225135,0.4031934137005533,19.580635405998304,BAIXO
Banco Daycoval,202212,2022-12-01,2022Q4,0.128639726962686,20.3400682593285,11.74042375083151,0.0,0.10280166192686657,0.0,0.8017796914368628,0.0,20.3400682593285,MODERADO
Banco Daycoval,202303,2023-03-01,2023Q1,0.13455867113726,18.860332215685,10.994667910294034,0.0,0.07813755360841301,0.0,0.8010193642006513,0.0,18.860332215685,BAIXO
Banco Daycoval,202306,2023-06-01,2023Q2,0.141883015940924,17.029246014769,11.638956295095596,0.0,0.09791156879270368,0.0,0.7892236386830621,0.0,17.029246014769,BAIXO
Banco Daycoval,202309,2023-09-01,2023Q3,0.15319552465471,14.201118836322498,11.243192052366187,0.0,0.06736076019110748,0.0,0.8054692364608508,0.0,14.201118836322498,BAIXO
Banco Daycoval,202312,2023-12-01,2023Q4,0.138661969840972,17.834507539757,12.083347097421688,0.0,0.10057702188173212,0.0,0.8095467874599711,0.18283305836614416,18.01734059812314,BAIXO
Banco Daycoval,202403,2024-03-01,2024Q1,0.14673451541116,15.81637114721,11.237349215845974,0.0,0.11670914413756406,0.0,0.8424513080100942,0.371825318848118,16.18819646605812,BAIXO
Banco Daycoval,202406,2024-06-01,2024Q2,0.138308315482416,17.922921129395995,11.445452261742528,0.0,0.10752883326119211,0.0,0.8325292749815136,0.0,17.922921129395995,BAIXO
Banco Daycoval,202409,2024-09-01,2024Q3,0.147857752475017,15.53556188124575,10.462764149676666,0.0,0.06330573319040034,0.0,0.8220712314053952,0.0,15.53556188124575,BAIXO
Banco Daycoval,202412,2024-12-01,2024Q4,0.124962862098853,21.259284475286748,12.048771204182087,0.0,0.14940433161508948,0.0,0.7949397807140689,0.0,21.259284475286748,MODERADO
Banco Daycoval,202503,2025-03-01,2025Q1,0.144369508726547,16.40762281836325,10.23474940911684,0.0,0.052973695964169565,0.0,0.829233390140299,1.5739856270336028,17.981608445396855,BAIXO
Banco Daycoval,202506,2025-06-01,2025Q2,0.139260946216547,17.68476344586325,10.54147069092098,0.0,0.04729725998351508,0.0,0.8116190263117293,0.0,17.68476344586325,BAIXO
Banco Daycoval,202509,2025-09-01,2025Q3,0.150316581054054,14.920854736486506,10.742235660693982,0.0,0.155680096056112,0.0,0.8081509926560566,0.889685947925245,15.810540684411752,BAIXO
Banco Inter,201903,2019-03-01,2019Q1,0.256713080343381,0.0,6.284362131822336,0.0,,0.0,0.7503478018442612,0.0,0.0,BAIXO
Banco Inter,201906,2019-06-01,2019Q2,0.235941133272551,0.0,6.949430931004961,0.0,,0.0,0.7511668725926522,0.0,0.0,BAIXO
Banco Inter,201909,2019-09-01,2019Q3,0.434113784917681,0.0,4.230808602900048,0.0,,0.0,0.6799534081107939,0.0,0.0,BAIXO
Banco Inter,201912,2019-12-01,2019Q4,0.384912247299179,0.0,4.560935223722079,0.0,,0.0,0.69582289049045,0.0,0.0,BAIXO
Banco Inter,202003,2020-03-01,2020Q1,0.291859465277143,0.0,4.882860200893928,0.0,0.7603146802832152,21.352233823136423,0.7020842288377346,0.0,21.352233823136423,MODERADO
Banco Inter,202006,2020-06-01,2020Q2,0.272591260763767,0.0,5.859784324656614,0.0,0.8336590570156428,24.847588163858713,0.7409136568862081,0.0,24.847588163858713,MODERADO
Banco Inter,202009,2020-09-01,2020Q3,0.362174877094745,0.0,5.054287980322115,0.0,0.7753794098587354,18.02446884784199,0.7051394364519059,0.0,18.02446884784199,BAIXO
Banco Inter,202012,2020-12-01,2020Q4,0.31828739525522,0.0,5.984965183767634,0.0,0.9690264192276485,25.0,0.7277967699256406,0.0,25.0,MODERADO
Banco Inter,202103,2021-03-01,2021Q1,0.241437157212127,0.0,6.674559250752601,0.0,1.015318696735521,25.0,0.7267452828200619,0.0,25.0,MODERADO
Banco Inter,202106,2021-06-01,2021Q2,0.196287566107564,3.428108473108998,3.498396954482348,0.0,1.4161501781114474,25.0,0.6046250361625523,0.0,28.428108473109,MODERADO
Banco Inter,202109,2021-09-01,2021Q3,0.497394658636817,0.0,3.987825666243521,0.0,1.0294402679648451,25.0,0.6318390389145953,0.0,25.0,MODERADO
Banco Inter,202112,2021-12-01,2021Q4,0.44310820142698,0.0,4.298521782352914,0.0,0.8459848080714936,18.843502070584563,0.6388171557863663,0.0,18.843502070584563,BAIXO
Banco Inter,202203,2022-03-01,2022Q1,0.356750858199476,0.0,4.540171965633818,0.0,0.8103515100339818,14.87176288511235,0.6413117447825409,0.0,14.87176288511235,BAIXO
Banco Inter,202206,2022-06-01,2022Q2,0.328907673636924,0.0,4.858140790687827,0.0,0.3543537165280384,0.0,0.6525563545699871,0.0,0.0,BAIXO
Banco Inter,202209,2022-09-01,2022Q3,0.297934413649821,0.0,5.215516981766313,0.0,0.30579559342588714,4.022291298616432,0.6765908307674017,0.0,4.022291298616432,BAIXO
Banco Inter,202212,2022-12-01,2022Q4,0.240864270763949,0.0,6.483049796002509,0.0,0.257721022972198,6.183962528485953,0.710191264880895,0.0,6.183962528485953,BAIXO
Banco Inter,202303,2023-03-01,2023Q1,0.230001563394357,0.0,6.623691267383254,0.0,0.22829548024984314,2.1138112300831513,0.7126561464494535,0.0,2.1138112300831513,BAIXO
Banco Inter,202306,2023-06-01,2023Q2,0.228246565203793,0.0,6.804080615904522,0.0,0.21734475896053662,0.0,0.7187459094497365,0.0,0.0,BAIXO
Banco Inter,202309,2023-09-01,2023Q3,0.237401165545629,0.0,7.508759836511077,0.0,0.24400307858338688,0.0,0.7239263115311296,0.0,0.0,BAIXO
Banco Inter,202312,2023-12-01,2023Q4,0.229501027251763,0.0,8.014146098921918,0.0,0.2928824587420287,0.0,0.7311889100008905,0.0,0.0,BAIXO
Banco Inter,202403,2024-03-01,2024Q1,0.202765299790298,1.8086750524255013,8.404039655077801,0.0,0.300785944238227,0.0,0.724613375144602,0.0,1.8086750524255013,BAIXO
Banco Inter,202406,2024-06-01,2024Q2,0.192892457011037,4.276885747240752,8.939337153232282,0.0,0.317934263337748,0.0,0.7425290270854361,0.0,4.276885747240752,BAIXO
Banco Inter,202409,2024-09-01,2024Q3,0.170041726848355,9.989568287911252,9.335049722947458,0.0,0.24385962951043494,0.0,0.7507618335320464,0.0,9.989568287911252,BAIXO
Banco Inter,202412,2024-12-01,2024Q4,0.151854332844167,14.53641678895825,10.25250972421923,0.0,0.25380004106971765,0.0,0.7628766980802673,0.0,14.53641678895825,BAIXO
Banco Inter,202503,2025-03-01,2025Q1,0.148344894848231,15.413776287942255,10.962700786108348,0.0,0.29943235369163146,1.890776846628961,0.7679875045770846,0.0,17.304553134571215,BAIXO
Banco Inter,202506,2025-06-01,2025Q2,0.15685028526199,13.287428684502503,11.40876651254329,0.0,0.2817876715618799,2.0237903876583974,0.7620784140996617,0.0,15.3112190721609,BAIXO
Banco Inter,202509,2025-09-01,2025Q3,0.146323495349677,15.91912616258075,12.176979115514854,0.0,0.3273808924738817,2.5861669847163373,0.770214730205116,0.0,18.50529314729709,BAIXO
Banco Master,201903,2019-03-01,2019Q1,0.0246475811996763,25.0,18.99665060387748,25.0,,0.0,0.8441153230761003,4.688376061591954,54.68837606159195,ALTO
Banco Master,201906,2019-06-01,2019Q2,0.0285383763147756,25.0,16.305238729435576,22.890096427412093,,0.0,0.8548923389434524,5.1862733175400075,53.076369744952096,ALTO
Banco Master,201909,2019-09-01,2019Q3,0.0324229078655705,25.0,17.02674342170606,25.0,,0.0,0.8514128954365827,6.218598862939739,56.21859886293974,ALTO
Banco Master,201912,2019-12-01,2019Q4,0.108213911123947,25.0,16.856118707992035,20.496350073694057,,0.0,0.873981110423247,5.298358301738015,50.79470837543207,ALTO
Banco Master,202003,2020-03-01,2020Q1,0.110043784793402,24.9890538016495,18.19951955031685,22.01406626351068,0.3520531079473579,0.939155206343556,0.8786683589649091,5.808938493634025,53.75121376513776,ALTO
Banco Master,202006,2020-06-01,2020Q2,0.105235997875729,25.0,21.225806458519983,25.0,0.587739601315469,12.551615378850023,0.8468668700675219,4.318710532761838,66.87032591161186,CRITICO
Banco Master,202009,2020-09-01,2020Q3,0.11958952644376,22.60261838906,16.729436677910815,16.49684839539485,0.6417870352539299,11.344850117601712,0.8478599112092792,4.067155267316075,54.51147216937263,ALTO
Banco Master,202012,2020-12-01,2020Q4,0.106213337127819,25.0,14.39689676675921,7.281904069275587,0.6404289523198043,9.933187002287836,0.8472144171938436,2.887580738325346,45.10267180988877,ALTO
Banco Master,202103,2021-03-01,2021Q1,0.103484831716727,25.0,14.83396698119167,9.881282299418142,0.5363484560815837,8.370239064153273,0.8443959943618806,2.8928872508975525,46.14440861446897,ALTO
Banco Master,202106,2021-06-01,2021Q2,0.140605654490397,17.34858637740075,15.77392289888999,13.287979002464951,0.4377601756941236,5.582837184240541,0.861992500749697,4.314730483742352,40.53413304784859,ALTO
Banco Master,202109,2021-09-01,2021Q3,0.121131496629648,22.217125842587997,16.276566456311265,13.240707880180889,0.48423716923495985,8.26290449750946,0.8762646702893617,4.054790476436143,47.77552869671449,ALTO
Banco Master,202112,2021-12-01,2021Q4,0.103708448709396,25.0,15.99194132546243,7.598702663717987,0.7054297480851672,11.815749071268245,0.8718560708899271,3.47742614445562,47.89187787944185,ALTO
Banco Master,202203,2022-03-01,2022Q1,0.1124526439742,24.38683900645,15.588237041005039,8.359923052383357,0.8888765302494157,18.798013895884047,0.8884845072017109,4.889571393271419,56.43434734798882,ALTO
Banco Master,202206,2022-06-01,2022Q2,0.117256671209279,23.185832197680252,13.999928267100035,0.0,1.0016145516313357,25.0,0.8864110835229949,4.972802732895981,53.158634930576234,ALTO
Banco Master,202209,2022-09-01,2022Q3,,,15.904469169517482,5.790415831858357,1.0018279080951484,25.0,0.9025210266164578,5.607591568397768,,
Banco Master,202212,2022-12-01,2022Q4,0.123235870912671,21.69103227183225,13.114882772327395,0.0,0.9838292221307479,25.0,0.8943097979410056,4.37745810851145,51.0684903803437,ALTO
Banco Master,202303,2023-03-01,2023Q1,0.115639338348125,23.59016541296875,13.894775903090801,0.0,0.8937205531099759,25.0,0.8996014806285725,4.81346770645864,53.40363311942739,ALTO
Banco Master,202306,2023-06-01,2023Q2,0.12317493181998,21.706267045005,14.731414345693851,5.109820444625324,0.8975288245483646,25.0,0.8971159071312558,5.394613422409683,57.210700912040004,ALTO
Banco Master,202309,2023-09-01,2023Q3,0.115990658025218,23.502335493695497,16.604980120670888,4.555107995204561,0.8396620916078383,25.0,0.9052989491585024,4.991485634882581,58.04892912378264,ALTO
Banco Master,202312,2023-12-01,2023Q4,0.115243924998184,23.689018750454,15.16994900174033,0.0,0.7594288631406598,23.327320219931558,0.9027232298440585,4.841655177570514,51.85799414795608,ALTO
Banco Master,202403,2024-03-01,2024Q1,0.105187738974598,25.0,16.810167654387627,1.2255451162879814,0.7785186748235966,23.88663652926848,0.902492032892524,3.3738615629696103,53.48604320852607,ALTO
